,screen_name,Country,Language,Category,ID
0,adalramones,Mexico,Spanish,Entertainment,1
1,alarabiya_spt,UAE,Arabic,News/Media,2
2,amirkingkhan,United Kingdom,English,Sports,3
3,armani,Italy,English,Corporate/Company,4
4,behzinga,United Kingdom,English,Entertainment,5
5,bellatwins,United States,English,Sports,6
6,benlandis,United States,English,Corporate/Company,7
7,billbailey,United Kingdom,English,Entertainment,8
8,bryancranston,United States,English,Entertainment,9
9,bubbawatson,United States,English,Sports,10
10,bulent_arinc,United States,English,Entertainment,11
11,cdcemergency,United States,English,News/Media,12
12,cdnleon,Brazil,Portuguese,Entertainment,13
13,chinasuarez,Argentina,Spanish,Entertainment,14
14,chriscuomo,United States,English,News/Media,15
15,coleengarcia,Philippines,Filipino,Entertainment,16
16,craigyferg,United States,English,Entertainment,17
17,cthagod,United States,English,Entertainment,18
18,dabbooratnani,India,English,Entertainment,19
19,dantdm,United Kingdom,English,Entertainment,20
20,dariusrucker,United States,English,Entertainment,21
21,djsnake,United States,English,Entertainment,22
22,drose,United States,English,Sports,23
23,eleanorjcalder,United Kingdom,English,Entertainment,24
24,engadget,United States,English,News/Media,25
25,etsy,United States,English,Corporate/Company,26
26,fazeadapt,United States,English,Sports,27
27,fazeclan,United States,English,Sports,28
28,felixsiauw,Indonesia,Indonesian,Religion,29
29,footlocker,United States,English,Corporate/Company,30
30,galgadot,United States,English,Entertainment,31
31,gazgshore,United Kingdom,English,Entertainment,32
32,gio_antonelli,Brazil,Portuguese,Entertainment,33
33,googlemaps,United States,English,Corporate/Company,34
34,hardwick,United States,English,Entertainment,35
35,hrw,United States,English,News/Media,36
36,iamsaidharamtej,India,English,Entertainment,37
37,ianmharding,United States,English,Entertainment,38
38,idriselba,United States,English,Entertainment,39
39,incredibleindia,India,English,News/Media,40
40,ingridguimaraes,Brazil,Portuguese,Entertainment,41
41,jacksonwang852,Hong Kong,English,Entertainment,42
42,jedmadela,Philippines,Filipino,Entertainment,43
43,jericho_rosales,Philippines,Filipino,Entertainment,44
44,junior_lima,Brazil,Portuguese,Entertainment,45
45,kantei_saigai,Japan,Japanese,Politics,46
46,kerihilson,United States,English,Entertainment,47
47,kmichelle,United States,English,Entertainment,48
48,kojiharunyan,Japan,Japanese,Entertainment,49
49,laazcarate,Colombia,Spanish,Entertainment,50
50,laradutta,India,English,Entertainment,51
51,lastweektonight,United States,English,News/Media,52
52,lecrae,United States,English,Entertainment,53
53,lifehacker,United States,English,News/Media,54
54,lizzzuy,Philippines,English,Entertainment,55
55,loqueellassaben,Mexico,Spanish,Entertainment,56
56,louteasdale,United Kingdom,English,Entertainment,57
57,m6,France,French,News/Media,58
58,madisonbeer,United States,English,Entertainment,59
59,marinadiamandis,United Kingdom,English,Entertainment,60
60,marlonwayans,United States,English,Entertainment,61
61,mcdonalds,United States,English,Corporate/Company,62
62,mediotiempo,Mexico,Spanish,News/Media,63
63,michellemalkin,United States,English,Politics,64
64,migos,United States,English,Entertainment,65
65,mnetkr,South Korea,Korean,News/Media,66
66,mnzadornov,Russia,Russian,Entertainment,67
67,mtvuk,United Kingdom,English,News/Media,68
68,neilhimself,United Kingdom,English,Entertainment,69
69,netnobody,United States,English,Entertainment,70
70,ngrpresident,Nigeria,English,Politics,71
71,nhm_london,United Kingdom,English,News/Media,72
72,noah_id,Indonesia,Indonesian,Entertainment,73
73,noaheverett,United States,English,Corporate/Company,74
74,noticias24,Venezuela,Spanish,News/Media,75
75,noynoyaquino,Philippines,Filipino,Politics,76
76,oisoo,South Korea,Korean,Entertainment,77
77,omar_almulhem,Saudi Arabia,Arabic,Religion,78
78,patriots,United States,English,Sports,79
79,patycantu,Mexico,Spanish,Entertainment,80
80,pokimanelol,Canada,English,Entertainment,81
81,politico,United States,English,News/Media,82
82,quebrandootabu,Brazil,Portuguese,News/Media,83
83,reallamarodom,United States,English,Sports,84
84,realtaeyang,South Korea,Korean,Entertainment,85
85,revistasemana,Colombia,Spanish,News/Media,86
86,robertosaviano,Italy,Italian,Entertainment,87
87,ryland_adams,United States,English,Entertainment,88
88,sciam,United States,English,News/Media,89
89,seankingston,United States,English,Entertainment,90
90,shitmydadsays,United States,English,Entertainment,91
91,speakerpelosi,United States,English,Politics,92
92,sport,Spain,Spanish,News/Media,93
93,sunidhichauhan5,India,Hindi,Entertainment,94
94,taeccool,South Korea,Korean,Entertainment,95
95,tanyaburr,United Kingdom,English,Entertainment,96
96,teammessi,United States,English,Sports,97
97,thetimmcgraw,United States,English,Entertainment,98
98,ti2dj,Indonesia,Indonesian,Entertainment,99
99,tk_tr,Turkey,Turkish,Corporate/Company,100
100,tmagazine,United States,English,News/Media,101
101,tonibraxton,United States,English,Entertainment,102
102,traviemccoy,United States,English,Entertainment,103
103,tydollasign,United States,English,Entertainment,104
104,tylergposey,United States,English,Entertainment,105
105,tylerrjoseph,United States,English,Entertainment,106
106,tyrese,United States,English,Entertainment,107
107,utadahikaru,Japan,Japanese,Entertainment,108
108,venuseswilliams,United States,English,Sports,109
109,victordrija,Venezuela,Spanish,Entertainment,110
110,wfp,Italy,English,Corporate/Company,111
111,willylevy29,United States,Spanish,Entertainment,112
112,wulanguritno,Indonesia,Indonesian,Entertainment,113
113,ximenamusic,Mexico,Spanish,Entertainment,114
114,yg,United States,English,Entertainment,115
115,ygofficialblink,South Korea,Korean,Entertainment,116
116,ysjagan,India,Telugu,Politics,117
