,screen_name,followers_count,Country,Language,Category,ID
84,ade,4888,United Kingdom,English,Corporate/Company,1
22,allueswarnaik,1844,India,English,Sports,2
7,allueswarnaik,1844,India,English,Entertainment,2
91,amidabrimah,3412,,,Unlabelled,3
103,angiewena,1447,,,Unlabelled,4
119,anne,1235,,,Unlabelled,5
69,aqualiteindia,1244,India,English,Corporate/Company,6
31,ares_fighting,1922,France,,Sports,7
94,arkdoggowo,2703,,,Unlabelled,8
39,asroma,2351,Italy,English,Sports,9
88,binho__cruz,1670,,,Unlabelled,10
44,bobbysworld84,2977,United States,English,Sports,11
110,bravo,1344,,,Unlabelled,12
64,carrascoiberico,4586,Spain,Spanish,Corporate/Company,13
96,charlie,1568,,,Unlabelled,14
90,cherylcole,2077,,,Unlabelled,15
32,clutchreed_5,4163,United States,English,Sports,16
13,dabhdude,2121,United States,English,Entertainment,17
33,daddyluv2250,5157,United States,English,Sports,18
24,daejondavis,3527,United States,English,Sports,19
1,dannyfaure,2204,Seychelles,English,Politics,20
52,davidestearns,1162,United States,English,News/Media,21
28,davidvanterpool,3755,United States,English,Sports,22
4,dbasshat,3513,United States,English,Politics,23
74,dezsms,2071,Kuwaiti,Arabic,Corporate/Company,24
111,dhanush,3152,,,Unlabelled,25
17,discosfup,3814,Spain,Spanish,Entertainment,26
18,djsergiopr,2161,Puerto Rico,Spanish,Entertainment,27
93,dreamycurtis,1924,,,Unlabelled,28
6,e_ironbunny,4318,South Korea,,Entertainment,29
95,elchistelatino,1229,,,Unlabelled,30
14,emilygryson88,1050,Japan,Japanese,Entertainment,31
55,eurolatamsummit,2678,Spain,Spanish,News/Media,32
116,exprai,2952,,,Unlabelled,33
54,fokusid,4549,Indonesia,Indonesian,News/Media,34
75,funeralguide,2261,United Kingdom,English,Corporate/Company,35
36,ghsrailroaders,1878,United States,English,Sports,36
109,guiguckert,1724,,,Unlabelled,37
79,harishk,3293,India,English,Corporate/Company,38
78,hischoolscotus,5393,United States,English,Corporate/Company,39
16,hoss_resists,3887,United States,English,Entertainment,40
81,hsquared_studio,3402,United States,English,Corporate/Company,41
37,iamjamariomoon,3463,United States,English,Sports,42
99,imthe_truth32,1194,,,Unlabelled,43
42,isaiah_rider,2292,United States,English,Sports,44
120,jaqueline,1543,,,Unlabelled,45
40,jaylenhoard,4003,United States,English,Sports,46
25,jclifio,3248,United States,English,Sports,47
23,jimmcilvaine,5065,United States,English,Sports,48
100,jm3679,1699,,,Unlabelled,49
38,jordanmhill23,1633,United States,English,Sports,50
62,josuehdezpozo,1539,Cuba,Spanish,Corporate/Company,51
59,kennethnrgaard,1830,Denmark,Dutch,News/Media,52
12,kimkardeshian,2054,United States,English,Entertainment,53
50,kosovo,3235,Kosovo,English,News/Media,54
117,kyrylofesenko,1628,,,Unlabelled,55
57,leilawhitworth,1317,United Kingdom,English,News/Media,56
9,liahatz,4928,United Kingdom,English,Entertainment,57
45,lifeofnanu_32,4523,United States,English,Sports,58
92,luissuarez,2000,,,Unlabelled,59
26,lukewaltonlaker,1828,United States,English,Sports,60
66,lulu,2840,United States,English,Corporate/Company,61
70,madrideasy,1149,Spain,Spanish,Corporate/Company,62
102,markcuban,2057,,,Unlabelled,63
107,mathgrrl,4128,,,Unlabelled,64
65,mbetanzos,3785,Mexico,Spanish,Corporate/Company,65
106,mentionke,3109,,,Unlabelled,66
63,mibebesitobebe,1844,Spain,Spanish,Corporate/Company,67
20,miryam_sut,2034,Spain,Spanish,Entertainment,68
71,mncfashion,1099,Indonesian,Indonesian,Corporate/Company,69
43,mobleyisaiah,3641,United States,English,Sports,70
85,mourningfamily,2280,United States,English,Corporate/Company,71
8,mrtoast72,4205,Canada,English,Entertainment,72
53,mweekcoruna_mwc,1075,Spain,Spanish,News/Media,73
72,myonlineca,1105,India,English,Corporate/Company,74
21,nevernotquotes,2043,United States,English,Entertainment,75
61,nyshcr,3577,United States,English,Corporate/Company,76
83,obi,5521,United Kingdom,English,Corporate/Company,77
10,odishadhfm,4044,India,English,Entertainment,78
29,olumideoyedeji1,4721,United States,English,Sports,79
15,pablocasado,2402,United States,Portuguese,Entertainment,80
101,pmnordkvist,1147,,,Unlabelled,81
2,presidentmt,5416,Malta,English,Politics,82
105,princeoni13,4191,,,Unlabelled,83
115,profit4eva,2164,,,Unlabelled,84
30,psavovic76,1663,Spain,Spanish,Sports,85
77,quirumed,2033,Spain,Spanish,Corporate/Company,86
98,r2reurope,4202,,,Unlabelled,87
73,rajeevpeshawria,3510,Singapore,English,Corporate/Company,88
49,rashford,3198,United States,English,News/Media,89
56,reducentropy,2565,United States,English,News/Media,90
3,repmarshall,2537,United States,English,Politics,91
68,riscure,4772,Netherlands,English,Corporate/Company,92
104,robertsatpark,2117,,,Unlabelled,93
89,robo_22,1669,,,Unlabelled,94
41,royteam,2046,United States,English,Sports,95
0,rsperanzon,1102,Italy,Italian,Politics,96
97,rt_erdogan,2324,,,Unlabelled,97
5,rxmiswift,2661,Spain,Spanish,Entertainment,98
46,rybo40,2415,United States,English,Sports,99
58,sevillanegocios,2112,Spain,Spanish,News/Media,100
86,soypeperoldan,1442,Spain,Spanish,Corporate/Company,101
48,specifierreview,1485,United Kingdom,English,News/Media,102
51,sportsguy33,3656,United States,English,News/Media,103
112,sportsprofitsys,3811,,,Unlabelled,104
47,thefourthfocus,3896,United States,English,News/Media,105
118,thereal_kphill,2202,,,Unlabelled,106
87,thuberh1,4644,South Africa,English,Corporate/Company,107
80,travelodge_es,2476,Spain,Spanish,Corporate/Company,108
27,trulyblessed13,1269,United States,English,Sports,109
67,trulynolen,3770,United States,English,Corporate/Company,110
35,tyronenesby,2288,United States,English,Sports,111
11,vishal_filmbuff,2020,India,English,Entertainment,112
60,vivanews,4000,Indonesia,Indonesian,News/Media,113
108,wcneedlemakers,1216,,,Unlabelled,114
82,weightwatchers,3733,United States,English,Corporate/Company,115
76,williamraveis,3269,United States,English,Corporate/Company,116
19,wowkidztv,2006,India,English,Entertainment,117
114,wugmump,1117,,,Unlabelled,118
113,wweajlee,1197,,,Unlabelled,119
34,youngmoney__11,3029,United States,English,Sports,120
